name,tile_url
gee_naip_2003,https://earthengine.googleapis.com/v1/projects/676236615089/maps/fb71646388b91922f417a08f7d65f724-6e9d3629bab9237dfbe3bc7bf405a933/tiles/{z}/{x}/{y}
gee_naip_2004,https://earthengine.googleapis.com/v1/projects/676236615089/maps/4ac3fd24bb4117dda66cc656e0d395af-1146815effc9e9e30274fa384776595f/tiles/{z}/{x}/{y}
gee_naip_2005,https://earthengine.googleapis.com/v1/projects/676236615089/maps/d1229bee9e355d8de65308e5e9874b37-c4132a9018668aa2523caa2abe65755a/tiles/{z}/{x}/{y}
gee_naip_2006,https://earthengine.googleapis.com/v1/projects/676236615089/maps/9d85ff18fd3ea1ff6517171385fade73-b33f08c72c630d40e097b2209e129647/tiles/{z}/{x}/{y}
gee_naip_2009,https://earthengine.googleapis.com/v1/projects/676236615089/maps/e9b32635b8b2add3113fcabe187d3950-259b1a53b026d88fb2f6d8174a1ccbf1/tiles/{z}/{x}/{y}
gee_naip_ir_2009,https://earthengine.googleapis.com/v1/projects/676236615089/maps/b6ae78ab03aa989af4b35d4e21664823-099c9e7fa827231e77d1b784b0c444ec/tiles/{z}/{x}/{y}
gee_naip_2010,https://earthengine.googleapis.com/v1/projects/676236615089/maps/b9ff14d0178c6aa1bdc7cd549d0a4749-e2c64596852d4e40d9301312bf9f5f94/tiles/{z}/{x}/{y}
gee_naip_ir_2010,https://earthengine.googleapis.com/v1/projects/676236615089/maps/64d72f4f428c418cdb241b376310c6e6-9163569c2e274f85fce89a327920b8c6/tiles/{z}/{x}/{y}
gee_naip_2012,https://earthengine.googleapis.com/v1/projects/676236615089/maps/6cb210348030cc4285f7e5cfd0e48da2-7c4194deeffd715aa58839b7a8cedc3f/tiles/{z}/{x}/{y}
gee_naip_ir_2012,https://earthengine.googleapis.com/v1/projects/676236615089/maps/de240f5d4e9c7063b697bb8904a59120-5818da24be34245e3a9c31ebb75da991/tiles/{z}/{x}/{y}
gee_naip_2014,https://earthengine.googleapis.com/v1/projects/676236615089/maps/8096b20c830156866adf18d070e01671-c67edb4582fdf724e16f98718f01f4bb/tiles/{z}/{x}/{y}
gee_naip_ir_2014,https://earthengine.googleapis.com/v1/projects/676236615089/maps/3e5b28167abaa748734c8ae34914b307-f89300b13d995021ff8010072f2ca154/tiles/{z}/{x}/{y}
gee_naip_2016,https://earthengine.googleapis.com/v1/projects/676236615089/maps/53eb92766b00f27598bc0511c944eccf-78b36c1d9d248b494ac7a7bb30590a52/tiles/{z}/{x}/{y}
gee_naip_ir_2016,https://earthengine.googleapis.com/v1/projects/676236615089/maps/72247f70d40b8d8c5740398a359e7bcd-721e3bdc96ad79908f7fbf3956a1744e/tiles/{z}/{x}/{y}
gee_naip_2018,https://earthengine.googleapis.com/v1/projects/676236615089/maps/694cce1cf23e2fec536fe39f2f560a39-1c7d56c6bbcb9e1ed44d80b17509c65c/tiles/{z}/{x}/{y}
gee_naip_ir_2018,https://earthengine.googleapis.com/v1/projects/676236615089/maps/3f726bf10ae4eb0b983c429295e97925-538840233f03170d1a76cff898e1d534/tiles/{z}/{x}/{y}
gee_naip_2020,https://earthengine.googleapis.com/v1/projects/676236615089/maps/90b2a6404112c7bc5e29d30f5911c8de-567d3e84094a17117b18ca6bf6d1541a/tiles/{z}/{x}/{y}
gee_naip_ir_2020,https://earthengine.googleapis.com/v1/projects/676236615089/maps/7992ce0771cae503f48d9a4e0b28703c-98fbf729e252fcfc491c6e2279e90313/tiles/{z}/{x}/{y}
gee_naip_2022,https://earthengine.googleapis.com/v1/projects/676236615089/maps/79f4ca9ff1f3b7cf3fdb7fec07ca82ad-e5a7c9121284eeb0b23c7d08dd016f25/tiles/{z}/{x}/{y}
gee_naip_ir_2022,https://earthengine.googleapis.com/v1/projects/676236615089/maps/b46ca1d8953196cdac0a71d25343e81d-93167ac91f68e3870c6a8fbc36e2cdb5/tiles/{z}/{x}/{y}
